term	name
GO:0005655	nucleolar ribonuclease P complex
GO:0005656	nuclear pre-replicative complex
GO:0005657	replication fork
GO:0005658	alpha DNA polymerase:primase complex
GO:0005662	DNA replication factor A complex
GO:0005663	DNA replication factor C complex
GO:0005664	nuclear origin of replication recognition complex
GO:0005665	RNA polymerase II, core complex
GO:0005666	RNA polymerase III complex
GO:0005667	transcription regulator complex
GO:0005668	RNA polymerase transcription factor SL1 complex
GO:0005669	transcription factor TFIID complex
GO:0005672	transcription factor TFIIA complex
GO:0005673	transcription factor TFIIE complex
GO:0005675	transcription factor TFIIH holo complex
GO:0005677	chromatin silencing complex
GO:0005680	anaphase-promoting complex
GO:0005681	spliceosomal complex
GO:0005682	U5 snRNP
GO:0005684	U2-type spliceosomal complex
GO:0005685	U1 snRNP
GO:0005686	U2 snRNP
GO:0005687	U4 snRNP
GO:0005689	U12-type spliceosomal complex
GO:0005694	chromosome
GO:0005697	telomerase holoenzyme complex
GO:0005700	polytene chromosome
GO:0005701	polytene chromosome chromocenter
GO:0005704	polytene chromosome band
GO:0005712	chiasma
GO:0005721	pericentric heterochromatin
GO:0005722	beta-heterochromatin
GO:0005730	nucleolus
GO:0005731	nucleolus organizer region
GO:0005732	sno(s)RNA-containing ribonucleoprotein complex
GO:0005736	RNA polymerase I complex
GO:0005737	cytoplasm
GO:0005739	mitochondrion
GO:0005740	mitochondrial envelope
GO:0005741	mitochondrial outer membrane
GO:0005742	mitochondrial outer membrane translocase complex
GO:0005743	mitochondrial inner membrane
GO:0005744	TIM23 mitochondrial import inner membrane translocase complex
GO:0005746	mitochondrial respirasome
GO:0005747	obsolete mitochondrial respiratory chain complex I
GO:0005749	obsolete mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)
GO:0005750	mitochondrial respiratory chain complex III
GO:0005751	mitochondrial respiratory chain complex IV
GO:0005753	mitochondrial proton-transporting ATP synthase complex
GO:0005758	mitochondrial intermembrane space
GO:0005759	mitochondrial matrix
GO:0005761	mitochondrial ribosome
GO:0005762	mitochondrial large ribosomal subunit
GO:0005763	mitochondrial small ribosomal subunit
GO:0005764	lysosome
GO:0005765	lysosomal membrane
GO:0005766	primary lysosome
GO:0005767	secondary lysosome
GO:0005768	endosome
GO:0005769	early endosome
GO:0005770	late endosome
GO:0005771	multivesicular body
GO:0005773	vacuole
GO:0005774	vacuolar membrane
GO:0005775	vacuolar lumen
GO:0005776	autophagosome
GO:0005777	peroxisome
GO:0005778	peroxisomal membrane
GO:0005779	obsolete integral component of peroxisomal membrane
GO:0005782	peroxisomal matrix
GO:0005783	endoplasmic reticulum
GO:0005786	signal recognition particle, endoplasmic reticulum targeting
GO:0005787	signal peptidase complex
GO:0005788	endoplasmic reticulum lumen
GO:0005789	endoplasmic reticulum membrane
GO:0005791	rough endoplasmic reticulum
GO:0005793	endoplasmic reticulum-Golgi intermediate compartment
GO:0005794	Golgi apparatus
GO:0005795	Golgi stack
GO:0005797	Golgi medial cisterna
GO:0005798	Golgi-associated vesicle
GO:0005801	cis-Golgi network
GO:0005802	trans-Golgi network
GO:0005811	lipid droplet
GO:0005813	centrosome
GO:0005814	centriole
GO:0005815	microtubule organizing center
GO:0005816	spindle pole body
GO:0005819	spindle
GO:0005822	inner plaque of spindle pole body
GO:0005825	half bridge of spindle pole body
GO:0005826	actomyosin contractile ring
GO:0005827	polar microtubule
GO:0005828	kinetochore microtubule
GO:0005829	cytosol
GO:0005832	chaperonin-containing T-complex
GO:0005834	heterotrimeric G-protein complex
GO:0005835	fatty acid synthase complex
GO:0005838	proteasome regulatory particle
GO:0005839	proteasome core complex
GO:0005840	ribosome
GO:0005844	obsolete polysome
GO:0005845	obsolete mRNA cap binding complex
GO:0005846	nuclear cap binding complex
GO:0005847	mRNA cleavage and polyadenylation specificity factor complex
GO:0005849	mRNA cleavage factor complex
GO:0005850	eukaryotic translation initiation factor 2 complex
GO:0005851	eukaryotic translation initiation factor 2B complex
GO:0005852	eukaryotic translation initiation factor 3 complex
GO:0005853	eukaryotic translation elongation factor 1 complex
GO:0005856	cytoskeleton
GO:0005859	muscle myosin complex
GO:0005862	muscle thin filament tropomyosin
GO:0005865	striated muscle thin filament
GO:0005868	cytoplasmic dynein complex
GO:0005871	kinesin complex
GO:0005872	minus-end kinesin complex
GO:0005873	plus-end kinesin complex
GO:0005874	microtubule
GO:0005875	microtubule associated complex
GO:0005876	spindle microtubule
GO:0005879	axonemal microtubule
GO:0005880	nuclear microtubule
GO:0005881	cytoplasmic microtubule
GO:0005882	intermediate filament
GO:0005884	actin filament
GO:0005885	Arp2/3 protein complex
GO:0005886	plasma membrane
GO:0005890	sodium:potassium-exchanging ATPase complex
GO:0005895	interleukin-5 receptor complex
GO:0005901	caveola
GO:0005902	microvillus
GO:0005903	brush border
GO:0005905	clathrin-coated pit
GO:0005911	cell-cell junction
GO:0005912	adherens junction
GO:0005918	septate junction
GO:0005923	bicellular tight junction
GO:0005924	obsolete cell-substrate adherens junction
GO:0005925	focal adhesion
GO:0005929	cilium
GO:0005930	axoneme
GO:0005933	cellular bud
GO:0005934	cellular bud tip
GO:0005935	cellular bud neck
GO:0005937	mating projection
GO:0005938	cell cortex
GO:0005940	septin ring
GO:0005942	phosphatidylinositol 3-kinase complex
GO:0005947	obsolete mitochondrial alpha-ketoglutarate dehydrogenase complex
GO:0005950	anthranilate synthase complex
GO:0005951	carbamoyl-phosphate synthase complex
GO:0005953	CAAX-protein geranylgeranyltransferase complex
GO:0005965	protein farnesyltransferase complex
GO:0005968	Rab-protein geranylgeranyltransferase complex
GO:0005971	ribonucleoside-diphosphate reductase complex
GO:0008021	synaptic vesicle
GO:0008023	transcription elongation factor complex
GO:0008043	obsolete intracellular ferritin complex
GO:0008250	oligosaccharyltransferase complex
GO:0008275	gamma-tubulin small complex
GO:0008278	cohesin complex
GO:0008287	protein serine/threonine phosphatase complex
GO:0008290	F-actin capping protein complex
GO:0008540	proteasome regulatory particle, base subcomplex
GO:0008541	proteasome regulatory particle, lid subcomplex
GO:0008622	epsilon DNA polymerase complex
GO:0008623	CHRAC
GO:0009277	fungal-type cell wall
GO:0009279	cell outer membrane
GO:0009288	bacterial-type flagellum
GO:0009295	nucleoid
GO:0009328	phenylalanine-tRNA ligase complex
GO:0009330	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex
GO:0009344	nitrite reductase complex [NAD(P)H]
GO:0009353	obsolete mitochondrial oxoglutarate dehydrogenase complex
GO:0009368	endopeptidase Clp complex
GO:0009380	excinuclease repair complex
GO:0009501	amyloplast
GO:0009503	thylakoid light-harvesting complex
GO:0009504	cell plate
GO:0009505	plant-type cell wall
GO:0009506	plasmodesma
GO:0009507	chloroplast
GO:0009508	plastid chromosome
GO:0009509	chromoplast
GO:0009513	etioplast
GO:0009514	glyoxysome
GO:0009516	leucoplast
GO:0009517	PSII associated light-harvesting complex II
GO:0009521	photosystem
GO:0009522	photosystem I
GO:0009523	photosystem II
GO:0009524	phragmoplast
GO:0009526	plastid envelope
GO:0009527	plastid outer membrane
GO:0009528	plastid inner membrane
GO:0009531	secondary cell wall
GO:0009532	plastid stroma
GO:0009533	chloroplast stromal thylakoid
GO:0009534	chloroplast thylakoid
GO:0009535	chloroplast thylakoid membrane
GO:0009536	plastid
GO:0009543	chloroplast thylakoid lumen
GO:0009544	chloroplast ATP synthase complex
GO:0009547	plastid ribosome
GO:0009551	secondary plasmodesma
GO:0009569	chloroplast starch grain
GO:0009570	chloroplast stroma
GO:0009574	preprophase band
GO:0009575	chromoplast stroma
GO:0009579	thylakoid
GO:0009654	photosystem II oxygen evolving complex
GO:0009705	plant-type vacuole membrane
GO:0009706	chloroplast inner membrane
GO:0009707	chloroplast outer membrane
GO:0009783	photosystem II antenna complex
GO:0009840	chloroplastic endopeptidase Clp complex
GO:0009897	external side of plasma membrane
GO:0009898	cytoplasmic side of plasma membrane
GO:0009921	auxin efflux carrier complex
GO:0009923	fatty acid elongase complex
GO:0009925	basal plasma membrane
GO:0009930	longitudinal side of cell surface
GO:0009941	chloroplast envelope
GO:0009986	cell surface
GO:0010005	cortical microtubule, transverse to long axis
GO:0010007	magnesium chelatase complex
GO:0010008	endosome membrane
GO:0010168	ER body
GO:0010170	glucose-1-phosphate adenylyltransferase complex
GO:0010240	obsolete plastid pyruvate dehydrogenase complex
GO:0010287	plastoglobule
GO:0010319	stromule
GO:0010330	cellulose synthase complex
GO:0010368	chloroplast isoamylase complex
GO:0010369	chromocenter
GO:0010370	perinucleolar chromocenter
GO:0010445	nuclear dicing body
GO:0010494	cytoplasmic stress granule
GO:0010598	NAD(P)H dehydrogenase complex (plastoquinone)
GO:0012505	endomembrane system
GO:0012506	vesicle membrane
GO:0012507	ER to Golgi transport vesicle membrane
GO:0012510	trans-Golgi network transport vesicle membrane
GO:0012511	monolayer-surrounded lipid storage body
GO:0014069	postsynaptic density
GO:0014704	intercalated disc
GO:0014731	spectrin-associated cytoskeleton
GO:0015030	Cajal body
GO:0015629	actin cytoskeleton
GO:0015630	microtubule cytoskeleton
GO:0015934	large ribosomal subunit
GO:0015935	small ribosomal subunit
GO:0016020	membrane
GO:0016234	inclusion body
GO:0016235	aggresome
GO:0016282	eukaryotic 43S preinitiation complex
GO:0016323	basolateral plasma membrane
GO:0016324	apical plasma membrane
GO:0016327	apicolateral plasma membrane
GO:0016328	lateral plasma membrane
GO:0016342	catenin complex
GO:0016363	nuclear matrix
GO:0016442	RISC complex
GO:0016459	myosin complex
GO:0016460	myosin II complex
GO:0016461	unconventional myosin complex
GO:0016469	proton-transporting two-sector ATPase complex
GO:0016471	vacuolar proton-transporting V-type ATPase complex
GO:0016514	SWI/SNF complex
GO:0016528	sarcoplasm
GO:0016529	sarcoplasmic reticulum
GO:0016581	NuRD complex
GO:0016589	NURF complex
GO:0016591	RNA polymerase II, holoenzyme
GO:0016592	mediator complex
GO:0016593	Cdc73/Paf1 complex
GO:0016602	CCAAT-binding factor complex
GO:0016604	nuclear body
GO:0016605	PML body
GO:0016607	nuclear speck
GO:0017053	transcription repressor complex
GO:0017059	serine palmitoyltransferase complex
GO:0017101	aminoacyl-tRNA synthetase multienzyme complex
GO:0017119	Golgi transport complex
GO:0017133	mitochondrial electron transfer flavoprotein complex
GO:0018995	host cellular component
GO:0019005	SCF ubiquitin ligase complex
GO:0019034	viral replication complex
GO:0019773	proteasome core complex, alpha-subunit complex
GO:0019774	proteasome core complex, beta-subunit complex
GO:0019866	organelle inner membrane
GO:0019867	outer membrane
GO:0019897	extrinsic component of plasma membrane
GO:0019898	extrinsic component of membrane
GO:0020016	ciliary pocket
GO:0020018	ciliary pocket membrane
GO:0022624	proteasome accessory complex
GO:0022625	cytosolic large ribosomal subunit
GO:0022626	cytosolic ribosome
GO:0022627	cytosolic small ribosomal subunit
GO:0030008	TRAPP complex
GO:0030014	CCR4-NOT complex
GO:0030015	CCR4-NOT core complex
GO:0030016	myofibril
GO:0030017	sarcomere
GO:0030018	Z disc
GO:0030027	lamellipodium
GO:0030054	cell junction
GO:0030055	cell-substrate junction
GO:0030062	obsolete mitochondrial tricarboxylic acid cycle enzyme complex
GO:0030076	light-harvesting complex
GO:0030093	chloroplast photosystem I
GO:0030117	membrane coat
GO:0030118	clathrin coat
GO:0030119	AP-type membrane coat adaptor complex
GO:0030120	vesicle coat
GO:0030121	AP-1 adaptor complex
GO:0030124	AP-4 adaptor complex
GO:0030125	clathrin vesicle coat
GO:0030126	COPI vesicle coat
GO:0030127	COPII vesicle coat
GO:0030130	clathrin coat of trans-Golgi network vesicle
GO:0030131	clathrin adaptor complex
GO:0030132	clathrin coat of coated pit
GO:0030133	transport vesicle
GO:0030134	COPII-coated ER to Golgi transport vesicle
GO:0030135	coated vesicle
GO:0030136	clathrin-coated vesicle
GO:0030137	COPI-coated vesicle
GO:0030139	endocytic vesicle
GO:0030140	trans-Golgi network transport vesicle
GO:0030141	secretory granule
GO:0030142	COPI-coated Golgi to ER transport vesicle
GO:0030173	obsolete integral component of Golgi membrane
GO:0030175	filopodium
GO:0030176	obsolete integral component of endoplasmic reticulum membrane
GO:0030286	dynein complex
GO:0030288	outer membrane-bounded periplasmic space
GO:0030312	external encapsulating structure
GO:0030313	cell envelope
GO:0030315	T-tubule
GO:0030424	axon
GO:0030425	dendrite
GO:0030426	growth cone
GO:0030427	site of polarized growth
GO:0030428	cell septum
GO:0030430	host cell cytoplasm
GO:0030446	hyphal cell wall
GO:0030479	actin cortical patch
GO:0030496	midbody
GO:0030532	small nuclear ribonucleoprotein complex
GO:0030658	transport vesicle membrane
GO:0030659	cytoplasmic vesicle membrane
GO:0030660	Golgi-associated vesicle membrane
GO:0030662	coated vesicle membrane
GO:0030663	COPI-coated vesicle membrane
GO:0030665	clathrin-coated vesicle membrane
GO:0030666	endocytic vesicle membrane
GO:0030667	secretory granule membrane
GO:0030669	clathrin-coated endocytic vesicle membrane
GO:0030670	phagocytic vesicle membrane
GO:0030672	synaptic vesicle membrane
GO:0030677	ribonuclease P complex
GO:0030681	multimeric ribonuclease P complex
GO:0030684	preribosome
GO:0030686	90S preribosome
GO:0030687	preribosome, large subunit precursor
GO:0030688	preribosome, small subunit precursor
GO:0030863	cortical cytoskeleton
GO:0030864	cortical actin cytoskeleton
GO:0030867	rough endoplasmic reticulum membrane
GO:0030870	Mre11 complex
GO:0030874	nucleolar chromatin
GO:0030875	rDNA protrusion
GO:0030880	RNA polymerase complex
GO:0030894	replisome
GO:0030895	apolipoprotein B mRNA editing enzyme complex
GO:0030896	checkpoint clamp complex
GO:0030897	HOPS complex
GO:0030904	retromer complex
GO:0030929	ADPG pyrophosphorylase complex
GO:0030931	heterotetrameric ADPG pyrophosphorylase complex
GO:0030964	NADH dehydrogenase complex
GO:0030981	cortical microtubule cytoskeleton
GO:0030998	linear element
GO:0031004	potassium ion-transporting ATPase complex
GO:0031010	ISWI-type complex
GO:0031012	extracellular matrix
GO:0031021	interphase microtubule organizing center
GO:0031074	nucleocytoplasmic transport complex
GO:0031080	nuclear pore outer ring
GO:0031082	BLOC complex
GO:0031083	BLOC-1 complex
GO:0031090	organelle membrane
GO:0031143	pseudopodium
GO:0031164	contractile vacuolar membrane
GO:0031201	SNARE complex
GO:0031205	endoplasmic reticulum Sec complex
GO:0031207	Sec62/Sec63 complex
GO:0031209	SCAR complex
GO:0031211	endoplasmic reticulum palmitoyltransferase complex
GO:0031224	obsolete intrinsic component of membrane
GO:0031225	obsolete anchored component of membrane
GO:0031226	obsolete intrinsic component of plasma membrane
GO:0031227	obsolete intrinsic component of endoplasmic reticulum membrane
GO:0031228	obsolete intrinsic component of Golgi membrane
GO:0031231	obsolete intrinsic component of peroxisomal membrane
GO:0031232	extrinsic component of external side of plasma membrane
GO:0031234	extrinsic component of cytoplasmic side of plasma membrane
GO:0031248	protein acetyltransferase complex
GO:0031252	cell leading edge
GO:0031253	cell projection membrane
GO:0031254	cell trailing edge
GO:0031256	leading edge membrane
GO:0031257	cell trailing edge membrane
GO:0031261	DNA replication preinitiation complex
GO:0031298	replication fork protection complex
GO:0031300	obsolete intrinsic component of organelle membrane
GO:0031301	obsolete integral component of organelle membrane
GO:0031302	obsolete intrinsic component of endosome membrane
GO:0031303	obsolete integral component of endosome membrane
GO:0031304	obsolete intrinsic component of mitochondrial inner membrane
GO:0031305	obsolete integral component of mitochondrial inner membrane
GO:0031306	obsolete intrinsic component of mitochondrial outer membrane
GO:0031307	obsolete integral component of mitochondrial outer membrane
GO:0031312	extrinsic component of organelle membrane
GO:0031313	extrinsic component of endosome membrane
GO:0031332	RNAi effector complex
GO:0031350	obsolete intrinsic component of plastid membrane
GO:0031351	obsolete integral component of plastid membrane
GO:0031352	obsolete intrinsic component of plastid inner membrane
GO:0031353	obsolete integral component of plastid inner membrane
GO:0031354	obsolete intrinsic component of plastid outer membrane
GO:0031355	obsolete integral component of plastid outer membrane
GO:0031356	obsolete intrinsic component of chloroplast inner membrane
GO:0031357	obsolete integral component of chloroplast inner membrane
GO:0031358	obsolete intrinsic component of chloroplast outer membrane
GO:0031359	obsolete integral component of chloroplast outer membrane
GO:0031360	obsolete intrinsic component of thylakoid membrane
GO:0031361	obsolete integral component of thylakoid membrane
GO:0031390	Ctf18 RFC-like complex
GO:0031410	cytoplasmic vesicle
GO:0031414	N-terminal protein acetyltransferase complex
GO:0031416	NatB complex
GO:0031417	NatC complex
GO:0031428	box C/D methylation guide snoRNP complex
GO:0031429	box H/ACA snoRNP complex
GO:0031430	M band
GO:0031436	BRCA1-BARD1 complex
GO:0031461	cullin-RING ubiquitin ligase complex
GO:0031463	Cul3-RING ubiquitin ligase complex
GO:0031464	Cul4A-RING E3 ubiquitin ligase complex
GO:0031465	Cul4B-RING E3 ubiquitin ligase complex
GO:0031499	TRAMP complex
GO:0031501	mannosyltransferase complex
GO:0031514	motile cilium
GO:0031515	tRNA (m1A) methyltransferase complex
GO:0031519	PcG protein complex
GO:0031520	plasma membrane of cell tip
GO:0031523	Myb complex
GO:0031594	neuromuscular junction
GO:0031595	nuclear proteasome complex
GO:0031597	cytosolic proteasome complex
GO:0031672	A band
GO:0031674	I band
GO:0031897	Tic complex
GO:0031901	early endosome membrane
GO:0031902	late endosome membrane
GO:0031903	microbody membrane
GO:0031904	endosome lumen
GO:0031907	microbody lumen
GO:0031931	TORC1 complex
GO:0031932	TORC2 complex
GO:0031941	filamentous actin
GO:0031965	nuclear membrane
GO:0031966	mitochondrial membrane
GO:0031967	organelle envelope
GO:0031968	organelle outer membrane
GO:0031969	chloroplast membrane
GO:0031970	organelle envelope lumen
GO:0031974	membrane-enclosed lumen
GO:0031975	obsolete envelope
GO:0031976	plastid thylakoid
GO:0031977	thylakoid lumen
GO:0031978	plastid thylakoid lumen
GO:0031981	nuclear lumen
GO:0031982	vesicle
GO:0031983	vesicle lumen
GO:0031984	organelle subcompartment
GO:0031985	Golgi cisterna
GO:0032009	early phagosome
GO:0032010	phagolysosome
GO:0032040	small-subunit processome
GO:0032044	DSIF complex
GO:0032133	chromosome passenger complex
GO:0032153	cell division site
GO:0032155	obsolete cell division site part
GO:0032156	septin cytoskeleton
GO:0032279	asymmetric synapse
GO:0032280	symmetric synapse
GO:0032300	mismatch repair complex
GO:0032301	MutSalpha complex
GO:0032302	MutSbeta complex
GO:0032389	MutLalpha complex
GO:0032391	photoreceptor connecting cilium
GO:0032421	stereocilium bundle
GO:0032432	actin filament bundle
GO:0032580	Golgi cisterna membrane
GO:0032585	multivesicular body membrane
GO:0032587	ruffle membrane
GO:0032588	trans-Golgi network membrane
GO:0032592	obsolete integral component of mitochondrial membrane
GO:0032797	SMN complex
GO:0032806	carboxy-terminal domain protein kinase complex
GO:0032807	DNA ligase IV complex
GO:0032838	plasma membrane bounded cell projection cytoplasm
GO:0032982	myosin filament
GO:0032991	protein-containing complex
GO:0032993	protein-DNA complex
GO:0032994	protein-lipid complex
GO:0033017	sarcoplasmic reticulum membrane
GO:0033061	DNA recombinase mediator complex
GO:0033063	Rad51B-Rad51C-Rad51D-XRCC2 complex
GO:0033095	aleurone grain
GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane
GO:0033176	proton-transporting V-type ATPase complex
GO:0033177	proton-transporting two-sector ATPase complex, proton-transporting domain
GO:0033178	proton-transporting two-sector ATPase complex, catalytic domain
GO:0033179	proton-transporting V-type ATPase, V0 domain
GO:0033180	proton-transporting V-type ATPase, V1 domain
GO:0033185	dolichol-phosphate-mannose synthase complex
GO:0033186	CAF-1 complex
GO:0033263	CORVET complex
GO:0033267	obsolete axon part
GO:0033268	node of Ranvier
GO:0033276	transcription factor TFTC complex
GO:0033281	TAT protein transport complex
GO:0033290	eukaryotic 48S preinitiation complex
GO:0033565	ESCRT-0 complex
GO:0033588	elongator holoenzyme complex
GO:0033593	BRCA2-MAGE-D1 complex
GO:0033597	mitotic checkpoint complex
GO:0033643	host cell part
GO:0033646	host intracellular part
GO:0033647	host intracellular organelle
GO:0033648	host intracellular membrane-bounded organelle
GO:0034045	phagophore assembly site membrane
GO:0034098	VCP-NPL4-UFD1 AAA ATPase complex
GO:0034245	mitochondrial DNA-directed RNA polymerase complex
GO:0034271	phosphatidylinositol 3-kinase complex, class III, type I
GO:0034272	phosphatidylinositol 3-kinase complex, class III, type II
GO:0034274	Atg12-Atg5-Atg16 complex
GO:0034357	photosynthetic membrane
GO:0034358	plasma lipoprotein particle
GO:0034361	very-low-density lipoprotein particle
GO:0034362	low-density lipoprotein particle
GO:0034363	intermediate-density lipoprotein particle
GO:0034364	high-density lipoprotein particle
GO:0034365	discoidal high-density lipoprotein particle
GO:0034385	triglyceride-rich plasma lipoprotein particle
GO:0034388	Pwp2p-containing subcomplex of 90S preribosome
GO:0034399	nuclear periphery
GO:0034425	etioplast envelope
GO:0034426	etioplast membrane
GO:0034506	chromosome, centromeric core domain
GO:0034515	proteasome storage granule
GO:0034518	RNA cap binding complex
GO:0034657	GID complex
GO:0034693	U11/U12 snRNP
GO:0034702	monoatomic ion channel complex
GO:0034703	cation channel complex
GO:0034704	calcium channel complex
GO:0034708	methyltransferase complex
GO:0034715	pICln-Sm protein complex
GO:0034719	SMN-Sm protein complex
GO:0034774	secretory granule lumen
GO:0035032	phosphatidylinositol 3-kinase complex, class III
GO:0035061	interchromatin granule
GO:0035097	histone methyltransferase complex
GO:0035101	FACT complex
GO:0035102	PRC1 complex
GO:0035145	exon-exon junction complex
GO:0035267	NuA4 histone acetyltransferase complex
GO:0035339	obsolete SPOTS complex
GO:0035371	microtubule plus-end
GO:0035448	extrinsic component of thylakoid membrane
GO:0035452	extrinsic component of plastid membrane
GO:0035577	azurophil granule membrane
GO:0035578	azurophil granule lumen
GO:0035579	specific granule membrane
GO:0035580	specific granule lumen
GO:0035618	root hair
GO:0035619	root hair tip
GO:0035649	Nrd1 complex
GO:0035692	macrophage migration inhibitory factor receptor complex
GO:0035693	NOS2-CD74 complex
GO:0035770	ribonucleoprotein granule
GO:0035838	growing cell tip
GO:0035859	Seh1-associated complex
GO:0035861	site of double-strand break
GO:0035869	ciliary transition zone
GO:0035985	senescence-associated heterochromatin focus
GO:0036019	endolysosome
GO:0036020	endolysosome membrane
GO:0036126	sperm flagellum
GO:0036379	myofilament
GO:0036387	pre-replicative complex
GO:0036396	RNA N6-methyladenosine methyltransferase complex
GO:0036449	microtubule minus-end
GO:0036452	ESCRT complex
GO:0036464	cytoplasmic ribonucleoprotein granule
GO:0036477	somatodendritic compartment
GO:0036501	UFD1-NPL4 complex
GO:0036513	Derlin-1 retrotranslocation complex
GO:0038201	TOR complex
GO:0042025	host cell nucleus
GO:0042170	plastid membrane
GO:0042175	nuclear outer membrane-endoplasmic reticulum membrane network
GO:0042382	paraspeckles
GO:0042383	sarcolemma
GO:0042405	nuclear inclusion body
GO:0042406	extrinsic component of endoplasmic reticulum membrane
GO:0042470	melanosome
GO:0042555	MCM complex
GO:0042564	NLS-dependent protein nuclear import complex
GO:0042575	DNA polymerase complex
GO:0042579	microbody
GO:0042581	specific granule
GO:0042582	azurophil granule
GO:0042585	germinal vesicle
GO:0042588	zymogen granule
GO:0042589	zymogen granule membrane
GO:0042597	periplasmic space
GO:0042599	lamellar body
GO:0042627	chylomicron
GO:0042641	actomyosin
GO:0042643	obsolete actomyosin, actin portion
GO:0042644	chloroplast nucleoid
GO:0042645	mitochondrial nucleoid
GO:0042646	plastid nucleoid
