term	name
GO:0003825	alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity
GO:0003827	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
GO:0003836	beta-galactoside (CMP) alpha-2,3-sialyltransferase activity
GO:0003838	sterol 24-C-methyltransferase activity
GO:0003839	gamma-glutamylcyclotransferase activity
GO:0003842	1-pyrroline-5-carboxylate dehydrogenase activity
GO:0003843	1,3-beta-D-glucan synthase activity
GO:0003844	1,4-alpha-glucan branching enzyme activity
GO:0003846	2-acylglycerol O-acyltransferase activity
GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
GO:0003852	2-isopropylmalate synthase activity
GO:0003853	2-methylbutanoyl-CoA dehydrogenase activity
GO:0003856	3-dehydroquinate synthase activity
GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity
GO:0003861	3-isopropylmalate dehydratase activity
GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
GO:0003865	3-oxo-5-alpha-steroid 4-dehydrogenase activity
GO:0003867	4-aminobutyrate transaminase activity
GO:0003871	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity
GO:0003872	6-phosphofructokinase activity
GO:0003880	protein C-terminal carboxyl O-methyltransferase activity
GO:0003883	CTP synthase activity
GO:0003886	DNA (cytosine-5-)-methyltransferase activity
GO:0003887	DNA-directed DNA polymerase activity
GO:0003896	DNA primase activity
GO:0003899	DNA-directed 5'-3' RNA polymerase activity
GO:0003904	deoxyribodipyrimidine photo-lyase activity
GO:0003906	DNA-(apurinic or apyrimidinic site) endonuclease activity
GO:0003909	DNA ligase activity
GO:0003910	DNA ligase (ATP) activity
GO:0003913	DNA photolyase activity
GO:0003916	DNA topoisomerase activity
GO:0003917	DNA topoisomerase type I (single strand cut, ATP-independent) activity
GO:0003918	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity
GO:0003919	FMN adenylyltransferase activity
GO:0003921	GMP synthase activity
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity
GO:0003923	GPI-anchor transamidase activity
GO:0003924	GTPase activity
GO:0003933	GTP cyclohydrolase activity
GO:0003934	GTP cyclohydrolase I activity
GO:0003935	GTP cyclohydrolase II activity
GO:0003938	IMP dehydrogenase activity
GO:0003949	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
GO:0003950	NAD+ ADP-ribosyltransferase activity
GO:0003954	NADH dehydrogenase activity
GO:0003955	NAD(P)H dehydrogenase (quinone) activity
GO:0003958	NADPH-hemoprotein reductase activity
GO:0003959	NADPH dehydrogenase activity
GO:0003960	NADPH:quinone reductase activity
GO:0003962	cystathionine gamma-synthase activity
GO:0003964	RNA-directed DNA polymerase activity
GO:0003968	RNA-dependent RNA polymerase activity
GO:0003973	(S)-2-hydroxy-acid oxidase activity
GO:0003979	UDP-glucose 6-dehydrogenase activity
GO:0003980	UDP-glucose:glycoprotein glucosyltransferase activity
GO:0003983	UTP:glucose-1-phosphate uridylyltransferase activity
GO:0003985	acetyl-CoA C-acetyltransferase activity
GO:0003987	acetate-CoA ligase activity
GO:0003988	acetyl-CoA C-acyltransferase activity
GO:0003989	acetyl-CoA carboxylase activity
GO:0003992	N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity
GO:0003993	acid phosphatase activity
GO:0003994	aconitate hydratase activity
GO:0003995	acyl-CoA dehydrogenase activity
GO:0003997	acyl-CoA oxidase activity
GO:0003999	adenine phosphoribosyltransferase activity
GO:0004000	adenosine deaminase activity
GO:0004001	adenosine kinase activity
GO:0004016	adenylate cyclase activity
GO:0004017	adenylate kinase activity
GO:0004019	adenylosuccinate synthase activity
GO:0004020	adenylylsulfate kinase activity
GO:0004021	L-alanine:2-oxoglutarate aminotransferase activity
GO:0004022	alcohol dehydrogenase (NAD+) activity
GO:0004028	3-chloroallyl aldehyde dehydrogenase activity
GO:0004029	aldehyde dehydrogenase (NAD+) activity
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity
GO:0004031	aldehyde oxidase activity
GO:0004033	aldo-keto reductase (NADPH) activity
GO:0004034	aldose 1-epimerase activity
GO:0004038	allantoinase activity
GO:0004044	amidophosphoribosyltransferase activity
GO:0004045	aminoacyl-tRNA hydrolase activity
GO:0004046	aminoacylase activity
GO:0004049	anthranilate synthase activity
GO:0004056	argininosuccinate lyase activity
GO:0004057	arginyl-tRNA--protein transferase activity
GO:0004064	arylesterase activity
GO:0004066	asparagine synthase (glutamine-hydrolyzing) activity
GO:0004067	asparaginase activity
GO:0004069	L-aspartate:2-oxoglutarate aminotransferase activity
GO:0004070	aspartate carbamoyltransferase activity
GO:0004072	aspartate kinase activity
GO:0004081	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity
GO:0004087	carbamoyl-phosphate synthase (ammonia) activity
GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
GO:0004089	carbonate dehydratase activity
GO:0004103	choline kinase activity
GO:0004106	chorismate mutase activity
GO:0004108	citrate (Si)-synthase activity
GO:0004121	obsolete cystathionine beta-lyase activity
GO:0004124	cysteine synthase activity
GO:0004126	cytidine deaminase activity
GO:0004128	cytochrome-b5 reductase activity, acting on NAD(P)H
GO:0004130	cytochrome-c peroxidase activity
GO:0004133	glycogen debranching enzyme activity
GO:0004144	diacylglycerol O-acyltransferase activity
GO:0004146	dihydrofolate reductase activity
GO:0004148	dihydrolipoyl dehydrogenase activity
GO:0004149	dihydrolipoyllysine-residue succinyltransferase activity
GO:0004151	dihydroorotase activity
GO:0004156	dihydropteroate synthase activity
GO:0004161	dimethylallyltranstransferase activity
GO:0004165	delta(3)-delta(2)-enoyl-CoA isomerase activity
GO:0004167	dopachrome isomerase activity
GO:0004170	dUTP diphosphatase activity
GO:0004174	electron-transferring-flavoprotein dehydrogenase activity
GO:0004175	endopeptidase activity
GO:0004176	ATP-dependent peptidase activity
GO:0004177	aminopeptidase activity
GO:0004180	carboxypeptidase activity
GO:0004181	metallocarboxypeptidase activity
GO:0004185	serine-type carboxypeptidase activity
GO:0004190	aspartic-type endopeptidase activity
GO:0004197	cysteine-type endopeptidase activity
GO:0004198	calcium-dependent cysteine-type endopeptidase activity
GO:0004222	metalloendopeptidase activity
GO:0004252	serine-type endopeptidase activity
GO:0004300	enoyl-CoA hydratase activity
GO:0004301	epoxide hydrolase activity
GO:0004305	ethanolamine kinase activity
GO:0004306	ethanolamine-phosphate cytidylyltransferase activity
GO:0004310	farnesyl-diphosphate farnesyltransferase activity
GO:0004311	farnesyltranstransferase activity
GO:0004312	fatty acid synthase activity
GO:0004315	3-oxoacyl-[acyl-carrier-protein] synthase activity
GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
GO:0004321	fatty-acyl-CoA synthase activity
GO:0004322	ferroxidase activity
GO:0004325	ferrochelatase activity
GO:0004326	tetrahydrofolylpolyglutamate synthase activity
GO:0004332	fructose-bisphosphate aldolase activity
GO:0004337	geranyltranstransferase activity
GO:0004338	glucan exo-1,3-beta-glucosidase activity
GO:0004340	glucokinase activity
GO:0004345	glucose-6-phosphate dehydrogenase activity
GO:0004347	glucose-6-phosphate isomerase activity
GO:0004350	glutamate-5-semialdehyde dehydrogenase activity
GO:0004351	glutamate decarboxylase activity
GO:0004352	glutamate dehydrogenase (NAD+) activity
GO:0004353	glutamate dehydrogenase [NAD(P)+] activity
GO:0004356	glutamine synthetase activity
GO:0004357	glutamate-cysteine ligase activity
GO:0004362	glutathione-disulfide reductase (NADPH) activity
GO:0004363	glutathione synthase activity
GO:0004364	glutathione transferase activity
GO:0004365	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
GO:0004368	glycerol-3-phosphate dehydrogenase (quinone) activity
GO:0004372	glycine hydroxymethyltransferase activity
GO:0004373	glycogen (starch) synthase activity
GO:0004376	glycolipid mannosyltransferase activity
GO:0004377	GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity
GO:0004383	guanylate cyclase activity
GO:0004385	guanylate kinase activity
GO:0004386	helicase activity
GO:0004392	heme oxygenase (decyclizing) activity
GO:0004395	obsolete hexaprenyldihydroxybenzoate methyltransferase activity
GO:0004396	hexokinase activity
GO:0004399	histidinol dehydrogenase activity
GO:0004400	histidinol-phosphate transaminase activity
GO:0004402	histone acetyltransferase activity
GO:0004407	histone deacetylase activity
GO:0004412	homoserine dehydrogenase activity
GO:0004413	homoserine kinase activity
GO:0004416	hydroxyacylglutathione hydrolase activity
GO:0004417	hydroxyethylthiazole kinase activity
GO:0004418	hydroxymethylbilane synthase activity
GO:0004419	hydroxymethylglutaryl-CoA lyase activity
GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity
GO:0004421	hydroxymethylglutaryl-CoA synthase activity
GO:0004425	indole-3-glycerol-phosphate synthase activity
GO:0004427	inorganic diphosphate phosphatase activity
GO:0004430	1-phosphatidylinositol 4-kinase activity
GO:0004438	phosphatidylinositol-3-phosphate phosphatase activity
GO:0004439	phosphatidylinositol-4,5-bisphosphate 5-phosphatase activity
GO:0004445	inositol-polyphosphate 5-phosphatase activity
GO:0004448	isocitrate dehydrogenase [NAD(P)+] activity
GO:0004449	isocitrate dehydrogenase (NAD+) activity
GO:0004450	isocitrate dehydrogenase (NADP+) activity
GO:0004451	isocitrate lyase activity
GO:0004457	lactate dehydrogenase activity
GO:0004458	D-lactate dehydrogenase (cytochrome) activity
GO:0004462	lactoylglutathione lyase activity
GO:0004467	long-chain fatty acid-CoA ligase activity
GO:0004470	malic enzyme activity
GO:0004471	malate dehydrogenase (decarboxylating) (NAD+) activity
GO:0004473	malate dehydrogenase (decarboxylating) (NADP+) activity
GO:0004475	mannose-1-phosphate guanylyltransferase (GTP) activity
GO:0004477	methenyltetrahydrofolate cyclohydrolase activity
GO:0004478	methionine adenosyltransferase activity
GO:0004482	mRNA 5'-cap (guanine-N7-)-methyltransferase activity
GO:0004484	mRNA guanylyltransferase activity
GO:0004485	methylcrotonoyl-CoA carboxylase activity
GO:0004488	methylenetetrahydrofolate dehydrogenase (NADP+) activity
GO:0004489	methylenetetrahydrofolate reductase (NAD(P)H) activity
GO:0004497	monooxygenase activity
GO:0004512	inositol-3-phosphate synthase activity
GO:0004516	nicotinate phosphoribosyltransferase activity
GO:0004518	nuclease activity
GO:0004519	endonuclease activity
GO:0004520	DNA endonuclease activity
GO:0004521	RNA endonuclease activity
GO:0004523	RNA-DNA hybrid ribonuclease activity
GO:0004525	ribonuclease III activity
GO:0004526	ribonuclease P activity
GO:0004527	exonuclease activity
GO:0004529	DNA exonuclease activity
GO:0004532	RNA exonuclease activity
GO:0004534	5'-3' RNA exonuclease activity
GO:0004535	poly(A)-specific ribonuclease activity
GO:0004536	DNA nuclease activity
GO:0004540	RNA nuclease activity
GO:0004549	tRNA-specific ribonuclease activity
GO:0004550	nucleoside diphosphate kinase activity
GO:0004551	dinucleotide phosphatase activity
GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
GO:0004555	alpha,alpha-trehalase activity
GO:0004556	alpha-amylase activity
GO:0004557	alpha-galactosidase activity
GO:0004559	alpha-mannosidase activity
GO:0004560	alpha-L-fucosidase activity
GO:0004563	beta-N-acetylhexosaminidase activity
GO:0004564	beta-fructofuranosidase activity
GO:0004565	beta-galactosidase activity
GO:0004566	beta-glucuronidase activity
GO:0004567	beta-mannosidase activity
GO:0004568	chitinase activity
GO:0004571	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity
GO:0004572	mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase activity
GO:0004575	sucrose alpha-glucosidase activity
GO:0004576	oligosaccharyl transferase activity
GO:0004579	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
GO:0004585	ornithine carbamoyltransferase activity
GO:0004591	oxoglutarate dehydrogenase (succinyl-transferring) activity
GO:0004594	pantothenate kinase activity
GO:0004596	peptide alpha-N-acetyltransferase activity
GO:0004601	peroxidase activity
GO:0004602	glutathione peroxidase activity
GO:0004604	phosphoadenylyl-sulfate reductase (thioredoxin) activity
GO:0004605	phosphatidate cytidylyltransferase activity
GO:0004607	phosphatidylcholine-sterol O-acyltransferase activity
GO:0004609	phosphatidylserine decarboxylase activity
GO:0004611	phosphoenolpyruvate carboxykinase activity
GO:0004612	phosphoenolpyruvate carboxykinase (ATP) activity
GO:0004614	phosphoglucomutase activity
GO:0004615	phosphomannomutase activity
GO:0004618	phosphoglycerate kinase activity
GO:0004619	phosphoglycerate mutase activity
GO:0004620	phospholipase activity
GO:0004622	lysophospholipase activity
GO:0004623	phospholipase A2 activity
GO:0004629	phospholipase C activity
GO:0004630	phospholipase D activity
GO:0004631	phosphomevalonate kinase activity
GO:0004633	phosphopantothenoylcysteine decarboxylase activity
GO:0004640	phosphoribosylanthranilate isomerase activity
GO:0004645	1,4-alpha-oligoglucan phosphorylase activity
GO:0004650	polygalacturonase activity
GO:0004651	polynucleotide 5'-phosphatase activity
GO:0004652	obsolete polynucleotide adenylyltransferase activity
GO:0004654	polyribonucleotide nucleotidyltransferase activity
GO:0004655	porphobilinogen synthase activity
GO:0004656	procollagen-proline 4-dioxygenase activity
GO:0004657	proline dehydrogenase activity
GO:0004659	prenyltransferase activity
GO:0004660	protein farnesyltransferase activity
GO:0004661	protein geranylgeranyltransferase activity
GO:0004663	Rab geranylgeranyltransferase activity
GO:0004664	prephenate dehydratase activity
GO:0004666	prostaglandin-endoperoxide synthase activity
GO:0004671	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
GO:0004672	protein kinase activity
GO:0004673	protein histidine kinase activity
GO:0004674	protein serine/threonine kinase activity
GO:0004675	transmembrane receptor protein serine/threonine kinase activity
GO:0004677	DNA-dependent protein kinase activity
GO:0004683	calmodulin-dependent protein kinase activity
GO:0004693	cyclin-dependent protein serine/threonine kinase activity
GO:0004706	JUN kinase kinase kinase activity
GO:0004707	MAP kinase activity
GO:0004708	MAP kinase kinase activity
GO:0004709	MAP kinase kinase kinase activity
GO:0004712	protein serine/threonine/tyrosine kinase activity
GO:0004713	protein tyrosine kinase activity
GO:0004719	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity
GO:0004721	phosphoprotein phosphatase activity
GO:0004722	protein serine/threonine phosphatase activity
GO:0004725	protein tyrosine phosphatase activity
GO:0004729	oxygen-dependent protoporphyrinogen oxidase activity
GO:0004738	pyruvate dehydrogenase activity
GO:0004739	pyruvate dehydrogenase (acetyl-transferring) activity
GO:0004743	pyruvate kinase activity
GO:0004745	all-trans-retinol dehydrogenase (NAD+) activity
GO:0004746	riboflavin synthase activity
GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor
GO:0004750	D-ribulose-phosphate 3-epimerase activity
GO:0004751	ribose-5-phosphate isomerase activity
GO:0004753	saccharopine dehydrogenase activity
GO:0004758	serine C-palmitoyltransferase activity
GO:0004760	serine-pyruvate transaminase activity
GO:0004764	shikimate 3-dehydrogenase (NADP+) activity
GO:0004766	spermidine synthase activity
GO:0004774	succinate-CoA ligase activity
GO:0004775	succinate-CoA ligase (ADP-forming) activity
GO:0004776	succinate-CoA ligase (GDP-forming) activity
GO:0004777	succinate-semialdehyde dehydrogenase (NAD+) activity
GO:0004779	sulfate adenylyltransferase activity
GO:0004781	sulfate adenylyltransferase (ATP) activity
GO:0004784	superoxide dismutase activity
GO:0004788	thiamine diphosphokinase activity
GO:0004789	thiamine-phosphate diphosphorylase activity
GO:0004791	thioredoxin-disulfide reductase (NADPH) activity
GO:0004792	thiosulfate sulfurtransferase activity
GO:0004793	threonine aldolase activity
GO:0004794	threonine deaminase activity
GO:0004795	threonine synthase activity
GO:0004797	thymidine kinase activity
GO:0004799	thymidylate synthase activity
GO:0004802	transketolase activity
GO:0004805	trehalose-phosphatase activity
GO:0004806	triglyceride lipase activity
GO:0004807	triose-phosphate isomerase activity
GO:0004809	obsolete tRNA (guanine-N2-)-methyltransferase activity
GO:0004810	CCA tRNA nucleotidyltransferase activity
GO:0004812	aminoacyl-tRNA ligase activity
GO:0004813	alanine-tRNA ligase activity
GO:0004814	arginine-tRNA ligase activity
GO:0004815	aspartate-tRNA ligase activity
GO:0004816	asparagine-tRNA ligase activity
GO:0004818	glutamate-tRNA ligase activity
GO:0004820	glycine-tRNA ligase activity
GO:0004822	isoleucine-tRNA ligase activity
GO:0004824	lysine-tRNA ligase activity
GO:0004825	methionine-tRNA ligase activity
GO:0004826	phenylalanine-tRNA ligase activity
GO:0004827	proline-tRNA ligase activity
GO:0004828	serine-tRNA ligase activity
GO:0004829	threonine-tRNA ligase activity
GO:0004831	tyrosine-tRNA ligase activity
GO:0004832	valine-tRNA ligase activity
GO:0004834	tryptophan synthase activity
GO:0004838	L-tyrosine:2-oxoglutarate aminotransferase activity
GO:0004839	ubiquitin activating enzyme activity
GO:0004842	ubiquitin-protein transferase activity
GO:0004843	cysteine-type deubiquitinase activity
GO:0004845	uracil phosphoribosyltransferase activity
GO:0004848	ureidoglycolate hydrolase activity
GO:0004849	uridine kinase activity
GO:0004853	uroporphyrinogen decarboxylase activity
GO:0004856	D-xylulokinase activity
GO:0004857	enzyme inhibitor activity
GO:0004860	protein kinase inhibitor activity
GO:0004861	cyclin-dependent protein serine/threonine kinase inhibitor activity
GO:0004864	protein phosphatase inhibitor activity
GO:0004865	protein serine/threonine phosphatase inhibitor activity
GO:0004866	endopeptidase inhibitor activity
GO:0004867	serine-type endopeptidase inhibitor activity
GO:0004869	cysteine-type endopeptidase inhibitor activity
GO:0004888	transmembrane signaling receptor activity
GO:0004896	cytokine receptor activity
GO:0004930	G protein-coupled receptor activity
GO:0005034	osmosensor activity
GO:0005048	signal sequence binding
GO:0005049	nuclear export signal receptor activity
GO:0005052	peroxisome matrix targeting signal-1 binding
GO:0005078	MAP-kinase scaffold activity
GO:0005080	protein kinase C binding
GO:0005085	guanyl-nucleotide exchange factor activity
GO:0005092	GDP-dissociation inhibitor activity
GO:0005093	Rab GDP-dissociation inhibitor activity
GO:0005095	GTPase inhibitor activity
GO:0005096	GTPase activator activity
GO:0005102	signaling receptor binding
GO:0005109	frizzled binding
GO:0005112	Notch binding
GO:0005125	cytokine activity
GO:0005126	cytokine receptor binding
GO:0005137	interleukin-5 receptor binding
GO:0005149	interleukin-1 receptor binding
GO:0005161	platelet-derived growth factor receptor binding
GO:0005178	integrin binding
GO:0005179	hormone activity
GO:0005198	structural molecule activity
GO:0005199	structural constituent of cell wall
GO:0005200	structural constituent of cytoskeleton
GO:0005212	structural constituent of eye lens
GO:0005215	transporter activity
GO:0005216	monoatomic ion channel activity
GO:0005217	intracellularly ligand-gated monoatomic ion channel activity
GO:0005221	intracellularly cyclic nucleotide-activated monoatomic cation channel activity
GO:0005222	intracellularly cAMP-activated cation channel activity
GO:0005242	inward rectifier potassium channel activity
GO:0005244	voltage-gated monoatomic ion channel activity
GO:0005245	voltage-gated calcium channel activity
GO:0005247	voltage-gated chloride channel activity
GO:0005249	voltage-gated potassium channel activity
GO:0005253	monoatomic anion channel activity
GO:0005254	chloride channel activity
GO:0005261	monoatomic cation channel activity
GO:0005262	calcium channel activity
GO:0005267	potassium channel activity
GO:0005274	allantoin:proton symporter activity
GO:0005275	amine transmembrane transporter activity
GO:0005310	dicarboxylic acid transmembrane transporter activity
GO:0005313	L-glutamate transmembrane transporter activity
GO:0005315	phosphate transmembrane transporter activity
GO:0005319	lipid transporter activity
GO:0005326	neurotransmitter transmembrane transporter activity
GO:0005337	nucleoside transmembrane transporter activity
GO:0005338	nucleotide-sugar transmembrane transporter activity
GO:0005342	organic acid transmembrane transporter activity
GO:0005344	oxygen carrier activity
GO:0005345	purine nucleobase transmembrane transporter activity
GO:0005346	purine ribonucleotide transmembrane transporter activity
GO:0005347	ATP transmembrane transporter activity
GO:0005350	pyrimidine nucleobase transmembrane transporter activity
GO:0005351	carbohydrate:proton symporter activity
GO:0005353	fructose transmembrane transporter activity
GO:0005354	galactose transmembrane transporter activity
GO:0005355	glucose transmembrane transporter activity
GO:0005356	glucose:proton symporter activity
GO:0005358	high-affinity glucose:proton symporter activity
GO:0005363	maltose transmembrane transporter activity
GO:0005365	myo-inositol transmembrane transporter activity
GO:0005366	myo-inositol:proton symporter activity
GO:0005372	water transmembrane transporter activity
GO:0005381	iron ion transmembrane transporter activity
GO:0005384	manganese ion transmembrane transporter activity
GO:0005385	zinc ion transmembrane transporter activity
GO:0005388	P-type calcium transporter activity
GO:0005391	P-type sodium:potassium-exchanging transporter activity
GO:0005402	carbohydrate:monoatomic cation symporter activity
GO:0005432	calcium:sodium antiporter activity
GO:0005451	obsolete monoatomic cation:proton antiporter activity
GO:0005457	GDP-fucose transmembrane transporter activity
GO:0005459	UDP-galactose transmembrane transporter activity
GO:0005460	UDP-glucose transmembrane transporter activity
GO:0005464	UDP-xylose transmembrane transporter activity
GO:0005471	ATP:ADP antiporter activity
GO:0005483	soluble NSF attachment protein activity
GO:0005484	SNAP receptor activity
GO:0005488	binding
GO:0005496	steroid binding
GO:0005497	androgen binding
GO:0005501	retinoid binding
GO:0005504	fatty acid binding
GO:0005506	iron ion binding
GO:0005507	copper ion binding
GO:0005509	calcium ion binding
GO:0005515	protein binding
GO:0005516	calmodulin binding
GO:0005522	profilin binding
GO:0005524	ATP binding
GO:0005525	GTP binding
GO:0005527	macrolide binding
GO:0005528	FK506 binding
GO:0005536	D-glucose binding
GO:0005539	glycosaminoglycan binding
GO:0005543	phospholipid binding
GO:0005544	calcium-dependent phospholipid binding
GO:0005546	phosphatidylinositol-4,5-bisphosphate binding
GO:0005547	phosphatidylinositol-3,4,5-trisphosphate binding
GO:0005548	phospholipid transporter activity
GO:0008013	beta-catenin binding
GO:0008017	microtubule binding
GO:0008022	obsolete protein C-terminus binding
GO:0008028	monocarboxylic acid transmembrane transporter activity
GO:0008047	enzyme activator activity
GO:0008061	chitin binding
GO:0008066	glutamate receptor activity
GO:0008073	ornithine decarboxylase inhibitor activity
GO:0008079	translation termination factor activity
GO:0008080	N-acetyltransferase activity
GO:0008081	phosphoric diester hydrolase activity
