term	gene
ko03009	TRINITY_DN173049_c0_g2
ko03450	TRINITY_DN120329_c0_g1
ko03400	TRINITY_DN120329_c0_g1
ko03460	TRINITY_DN111644_c0_g1
ko03400	TRINITY_DN111644_c0_g1
ko03460	TRINITY_DN111644_c0_g1
ko03400	TRINITY_DN111644_c0_g1
ko04141	TRINITY_DN111612_c0_g1
ko01003	TRINITY_DN111612_c0_g1
ko04075	TRINITY_DN189353_c0_g1
ko01001	TRINITY_DN189353_c0_g1
ko04622	TRINITY_DN117210_c0_g1
ko03019	TRINITY_DN117210_c0_g1
ko03041	TRINITY_DN117210_c0_g1
ko03036	TRINITY_DN117210_c0_g1
ko00790	TRINITY_DN117215_c0_g1
ko03013	TRINITY_DN185833_c0_g1
ko04121	TRINITY_DN185833_c0_g1
ko03029	TRINITY_DN185833_c0_g1
ko04812	TRINITY_DN185833_c0_g1
ko03013	TRINITY_DN185833_c0_g1
ko04121	TRINITY_DN185833_c0_g1
ko03029	TRINITY_DN185833_c0_g1
ko04812	TRINITY_DN185833_c0_g1
ko03013	TRINITY_DN185833_c0_g1
ko04121	TRINITY_DN185833_c0_g1
ko03029	TRINITY_DN185833_c0_g1
ko04812	TRINITY_DN185833_c0_g1
ko04962	TRINITY_DN143025_c0_g1
ko02000	TRINITY_DN143025_c0_g1
ko04613	TRINITY_DN143025_c0_g1
ko04976	TRINITY_DN143025_c0_g1
ko02000	TRINITY_DN143025_c0_g1
ko02000	TRINITY_DN143025_c0_g1
ko02000	TRINITY_DN143025_c0_g1
ko04814	TRINITY_DN143025_c0_g1
ko04812	TRINITY_DN143025_c0_g1
ko04010	TRINITY_DN143007_c0_g1
ko04064	TRINITY_DN143007_c0_g1
ko04620	TRINITY_DN143007_c0_g1
ko04624	TRINITY_DN143007_c0_g1
ko04621	TRINITY_DN143007_c0_g1
ko04722	TRINITY_DN143007_c0_g1
ko01001	TRINITY_DN143007_c0_g1
ko01003	TRINITY_DN143051_c0_g1
ko04121	TRINITY_DN119934_c0_g1
ko00140	TRINITY_DN119195_c0_g1
ko00380	TRINITY_DN119195_c0_g1
ko00830	TRINITY_DN119195_c0_g1
ko00980	TRINITY_DN119195_c0_g1
ko04913	TRINITY_DN119195_c0_g1
ko00199	TRINITY_DN119195_c0_g1
ko04626	TRINITY_DN126992_c0_g1
ko00591	TRINITY_DN126960_c1_g1
ko00592	TRINITY_DN126960_c1_g1
ko04010	TRINITY_DN126977_c0_g1
ko04064	TRINITY_DN126977_c0_g1
ko04620	TRINITY_DN126977_c0_g1
ko04624	TRINITY_DN126977_c0_g1
ko04621	TRINITY_DN126977_c0_g1
ko04722	TRINITY_DN126977_c0_g1
ko01001	TRINITY_DN126977_c0_g1
ko00020	TRINITY_DN110527_c0_g1
ko00640	TRINITY_DN110527_c0_g1
ko04141	TRINITY_DN111392_c0_g1
ko04131	TRINITY_DN111392_c0_g1
ko04361	TRINITY_DN111475_c0_g1
ko03019	TRINITY_DN111475_c0_g1
ko03036	TRINITY_DN111475_c0_g1
ko04361	TRINITY_DN111475_c0_g1
ko03019	TRINITY_DN111475_c0_g1
ko03036	TRINITY_DN111475_c0_g1
ko04121	TRINITY_DN101098_c0_g1
ko04120	TRINITY_DN150665_c0_g1
ko04110	TRINITY_DN150665_c0_g1
ko04111	TRINITY_DN150665_c0_g1
ko04113	TRINITY_DN150665_c0_g1
ko04114	TRINITY_DN150665_c0_g1
ko04914	TRINITY_DN150665_c0_g1
ko04121	TRINITY_DN150665_c0_g1
ko03036	TRINITY_DN150665_c0_g1
ko04014	TRINITY_DN199639_c0_g1
ko04040	TRINITY_DN199639_c0_g1
ko00904	TRINITY_DN130984_c0_g1
ko00199	TRINITY_DN130984_c0_g1
ko03022	TRINITY_DN108932_c0_g1
ko03021	TRINITY_DN108932_c0_g1
ko03021	TRINITY_DN172827_c0_g1
ko04626	TRINITY_DN189192_c0_g1
ko04131	TRINITY_DN140934_c0_g1
ko03460	TRINITY_DN127718_c0_g1
ko03400	TRINITY_DN127718_c0_g1
ko03018	TRINITY_DN127717_c0_g1
ko03019	TRINITY_DN127717_c0_g1
ko03036	TRINITY_DN127717_c0_g1
ko03040	TRINITY_DN127685_c0_g1
ko03041	TRINITY_DN127685_c0_g1
ko03036	TRINITY_DN167799_c0_g1
ko04120	TRINITY_DN170684_c1_g1
ko04110	TRINITY_DN170684_c1_g1
ko04111	TRINITY_DN170684_c1_g1
ko04113	TRINITY_DN170684_c1_g1
ko04114	TRINITY_DN170684_c1_g1
ko04121	TRINITY_DN170684_c1_g1
ko03036	TRINITY_DN170684_c1_g1
ko00330	TRINITY_DN139864_c0_g1
ko04010	TRINITY_DN131799_c0_g1
ko04064	TRINITY_DN131799_c0_g1
ko04620	TRINITY_DN131799_c0_g1
ko04624	TRINITY_DN131799_c0_g1
ko04722	TRINITY_DN131799_c0_g1
ko01001	TRINITY_DN131799_c0_g1
ko03410	TRINITY_DN131802_c0_g1
ko03400	TRINITY_DN131802_c0_g1
ko04140	TRINITY_DN168688_c0_g1
ko04138	TRINITY_DN168688_c0_g1
ko04136	TRINITY_DN168688_c0_g1
ko04131	TRINITY_DN168688_c0_g1
ko03029	TRINITY_DN168688_c0_g1
ko00240	TRINITY_DN133849_c0_g1
ko00983	TRINITY_DN133849_c0_g1
ko04120	TRINITY_DN139079_c0_g1
ko04110	TRINITY_DN139079_c0_g1
ko04111	TRINITY_DN139079_c0_g1
ko04113	TRINITY_DN139079_c0_g1
ko04114	TRINITY_DN139079_c0_g1
ko04121	TRINITY_DN139079_c0_g1
ko03036	TRINITY_DN139079_c0_g1
ko04120	TRINITY_DN139079_c0_g1
ko04110	TRINITY_DN139079_c0_g1
ko04111	TRINITY_DN139079_c0_g1
ko04113	TRINITY_DN139079_c0_g1
ko04114	TRINITY_DN139079_c0_g1
ko04121	TRINITY_DN139079_c0_g1
ko03036	TRINITY_DN139079_c0_g1
ko01002	TRINITY_DN116459_c0_g1
ko03029	TRINITY_DN191470_c0_g1
ko03036	TRINITY_DN110271_c0_g3
ko03040	TRINITY_DN110270_c0_g1
ko03041	TRINITY_DN110270_c0_g1
ko03400	TRINITY_DN110270_c0_g1
ko03040	TRINITY_DN110270_c0_g1
ko03041	TRINITY_DN110270_c0_g1
ko03400	TRINITY_DN110270_c0_g1
ko00230	TRINITY_DN105134_c0_g1
ko00514	TRINITY_DN105208_c0_g1
ko01003	TRINITY_DN105208_c0_g1
ko00543	TRINITY_DN105158_c0_g2
ko05111	TRINITY_DN105158_c0_g2
ko00543	TRINITY_DN105158_c0_g2
ko02025	TRINITY_DN105158_c0_g2
ko04120	TRINITY_DN183031_c0_g1
ko04121	TRINITY_DN183031_c0_g1
ko00010	TRINITY_DN105741_c2_g1
ko00020	TRINITY_DN105741_c2_g1
ko00620	TRINITY_DN105741_c2_g1
ko00785	TRINITY_DN105741_c2_g1
ko04066	TRINITY_DN105741_c2_g1
ko04922	TRINITY_DN105741_c2_g1
ko03036	TRINITY_DN175402_c0_g1
ko04812	TRINITY_DN175402_c0_g1
ko04014	TRINITY_DN175403_c0_g1
ko04040	TRINITY_DN175403_c0_g1
ko02044	TRINITY_DN175391_c0_g1
ko02044	TRINITY_DN175391_c0_g1
ko04121	TRINITY_DN175367_c0_g1
ko00250	TRINITY_DN194518_c0_g1
ko00260	TRINITY_DN194518_c0_g1
ko00270	TRINITY_DN194518_c0_g1
ko00280	TRINITY_DN194518_c0_g1
ko01007	TRINITY_DN194518_c0_g1
ko03040	TRINITY_DN101482_c0_g1
ko03041	TRINITY_DN101482_c0_g1
ko04014	TRINITY_DN139207_c0_g1
ko04040	TRINITY_DN139207_c0_g1
ko00620	TRINITY_DN143672_c0_g1
ko00710	TRINITY_DN143672_c0_g1
ko03320	TRINITY_DN143672_c0_g1
ko00190	TRINITY_DN196953_c0_g1
ko04150	TRINITY_DN196953_c0_g1
ko04145	TRINITY_DN196953_c0_g1
ko04142	TRINITY_DN196953_c0_g1
ko04721	TRINITY_DN196953_c0_g1
ko01001	TRINITY_DN132040_c0_g1
ko04152	TRINITY_DN132040_c0_g1
ko04140	TRINITY_DN132040_c0_g1
ko04920	TRINITY_DN132040_c0_g1
ko04921	TRINITY_DN132040_c0_g1
ko04211	TRINITY_DN132040_c0_g1
ko01001	TRINITY_DN132040_c0_g1
ko04350	TRINITY_DN168370_c1_g1
ko04110	TRINITY_DN168370_c1_g1
ko04218	TRINITY_DN168370_c1_g1
ko03000	TRINITY_DN168370_c1_g1
ko02000	TRINITY_DN165132_c0_g1
ko04622	TRINITY_DN165106_c0_g1
ko03019	TRINITY_DN165106_c0_g1
ko03041	TRINITY_DN165106_c0_g1
ko03036	TRINITY_DN165106_c0_g1
ko01002	TRINITY_DN115320_c0_g1
ko00220	TRINITY_DN115320_c0_g1
ko01002	TRINITY_DN115320_c0_g1
ko04147	TRINITY_DN115320_c0_g1
ko00910	TRINITY_DN115325_c0_g1
ko00250	TRINITY_DN115325_c0_g1
ko04010	TRINITY_DN115317_c0_g1
ko04064	TRINITY_DN115317_c0_g1
ko04620	TRINITY_DN115317_c0_g1
ko04624	TRINITY_DN115317_c0_g1
ko04722	TRINITY_DN115317_c0_g1
ko01001	TRINITY_DN115317_c0_g1
ko03400	TRINITY_DN115317_c0_g1
ko04010	TRINITY_DN115317_c0_g2
ko04064	TRINITY_DN115317_c0_g2
ko04620	TRINITY_DN115317_c0_g2
ko04624	TRINITY_DN115317_c0_g2
ko04621	TRINITY_DN115317_c0_g2
ko04722	TRINITY_DN115317_c0_g2
ko01001	TRINITY_DN115317_c0_g2
ko04010	TRINITY_DN115317_c0_g2
ko04064	TRINITY_DN115317_c0_g2
ko04620	TRINITY_DN115317_c0_g2
ko04624	TRINITY_DN115317_c0_g2
ko04621	TRINITY_DN115317_c0_g2
ko04722	TRINITY_DN115317_c0_g2
ko01001	TRINITY_DN115317_c0_g2
ko03010	TRINITY_DN115316_c2_g1
ko03011	TRINITY_DN115316_c2_g1
ko02000	TRINITY_DN141599_c0_g1
ko03050	TRINITY_DN113621_c0_g1
ko03051	TRINITY_DN113621_c0_g1
ko00010	TRINITY_DN113650_c1_g1
ko00710	TRINITY_DN113650_c1_g1
ko04066	TRINITY_DN113650_c1_g1
ko04131	TRINITY_DN113650_c1_g1
ko04147	TRINITY_DN113650_c1_g1
ko03050	TRINITY_DN113650_c1_g1
ko03051	TRINITY_DN113650_c1_g1
ko01001	TRINITY_DN113650_c1_g1
ko03040	TRINITY_DN113670_c1_g1
ko04141	TRINITY_DN113670_c1_g1
ko04010	TRINITY_DN113670_c1_g1
ko04144	TRINITY_DN113670_c1_g1
ko04612	TRINITY_DN113670_c1_g1
ko04915	TRINITY_DN113670_c1_g1
ko04213	TRINITY_DN113670_c1_g1
ko01009	TRINITY_DN113670_c1_g1
ko03041	TRINITY_DN113670_c1_g1
ko03009	TRINITY_DN113670_c1_g1
ko03110	TRINITY_DN113670_c1_g1
ko04131	TRINITY_DN113670_c1_g1
ko03051	TRINITY_DN113670_c1_g1
ko03029	TRINITY_DN113670_c1_g1
ko04147	TRINITY_DN113670_c1_g1
ko03440	TRINITY_DN166710_c0_g1
ko03460	TRINITY_DN166710_c0_g1
ko04121	TRINITY_DN166710_c0_g1
ko03036	TRINITY_DN166710_c0_g1
ko03400	TRINITY_DN166710_c0_g1
ko03000	TRINITY_DN179261_c0_g1
ko04014	TRINITY_DN170257_c1_g1
ko04137	TRINITY_DN175911_c1_g1
ko03029	TRINITY_DN175911_c1_g1
ko02000	TRINITY_DN175911_c1_g1
ko04010	TRINITY_DN173693_c0_g2
ko04064	TRINITY_DN173693_c0_g2
ko04620	TRINITY_DN173693_c0_g2
ko04624	TRINITY_DN173693_c0_g2
ko04621	TRINITY_DN173693_c0_g2
ko04722	TRINITY_DN173693_c0_g2
ko01001	TRINITY_DN173693_c0_g2
ko03030	TRINITY_DN128045_c0_g1
ko04110	TRINITY_DN128045_c0_g1
ko04111	TRINITY_DN128045_c0_g1
ko04113	TRINITY_DN128045_c0_g1
ko01009	TRINITY_DN128045_c0_g1
ko03032	TRINITY_DN128045_c0_g1
ko00790	TRINITY_DN118081_c0_g1
ko01002	TRINITY_DN118081_c0_g1
ko03021	TRINITY_DN161386_c0_g1
ko01001	TRINITY_DN158743_c0_g1
ko01009	TRINITY_DN158743_c0_g1
ko03036	TRINITY_DN158743_c0_g1
ko03029	TRINITY_DN142222_c0_g1
ko00270	TRINITY_DN142240_c0_g1
ko01007	TRINITY_DN142240_c0_g1
ko03430	TRINITY_DN122746_c0_g1
ko03400	TRINITY_DN122746_c0_g1
ko03012	TRINITY_DN195712_c0_g1
ko00541	TRINITY_DN131958_c0_g1
ko00523	TRINITY_DN131958_c0_g1
ko00521	TRINITY_DN131958_c0_g1
ko00525	TRINITY_DN131958_c0_g1
ko00909	TRINITY_DN131867_c0_g2
ko00909	TRINITY_DN131867_c0_g2
ko01002	TRINITY_DN148412_c0_g1
ko03110	TRINITY_DN148412_c0_g1
ko03010	TRINITY_DN105509_c0_g1
ko03011	TRINITY_DN105509_c0_g1
ko04040	TRINITY_DN105450_c0_g1
ko03019	TRINITY_DN146825_c1_g1
ko03019	TRINITY_DN146825_c1_g1
ko04361	TRINITY_DN122347_c0_g1
ko03019	TRINITY_DN122347_c0_g1
ko03036	TRINITY_DN122347_c0_g1
ko04075	TRINITY_DN181652_c0_g1
ko04120	TRINITY_DN162793_c1_g1
ko04137	TRINITY_DN162793_c1_g1
ko04121	TRINITY_DN162793_c1_g1
ko02000	TRINITY_DN162777_c0_g1
ko04147	TRINITY_DN162777_c0_g1
ko00520	TRINITY_DN107002_c0_g1
ko04626	TRINITY_DN107004_c0_g2
ko04626	TRINITY_DN107004_c0_g2
ko03016	TRINITY_DN107018_c0_g1
ko04626	TRINITY_DN144275_c1_g1
ko04014	TRINITY_DN150847_c0_g2
ko00053	TRINITY_DN150844_c0_g2
ko00520	TRINITY_DN150844_c0_g2
ko00541	TRINITY_DN150844_c0_g2
ko03036	TRINITY_DN108424_c0_g1
ko03040	TRINITY_DN168457_c0_g1
ko04141	TRINITY_DN168457_c0_g1
ko04010	TRINITY_DN168457_c0_g1
ko04144	TRINITY_DN168457_c0_g1
ko04612	TRINITY_DN168457_c0_g1
ko04915	TRINITY_DN168457_c0_g1
ko04213	TRINITY_DN168457_c0_g1
ko01009	TRINITY_DN168457_c0_g1
ko03041	TRINITY_DN168457_c0_g1
ko03009	TRINITY_DN168457_c0_g1
ko03110	TRINITY_DN168457_c0_g1
ko04131	TRINITY_DN168457_c0_g1
ko03051	TRINITY_DN168457_c0_g1
ko03029	TRINITY_DN168457_c0_g1
ko04147	TRINITY_DN168457_c0_g1
ko03018	TRINITY_DN168457_c0_g1
ko04212	TRINITY_DN168457_c0_g1
ko03019	TRINITY_DN168457_c0_g1
ko03110	TRINITY_DN168457_c0_g1
ko03029	TRINITY_DN168457_c0_g1
ko04147	TRINITY_DN168457_c0_g1
ko03110	TRINITY_DN138672_c0_g1
ko03037	TRINITY_DN138672_c0_g1
ko04147	TRINITY_DN138672_c0_g1
ko04120	TRINITY_DN138633_c0_g1
ko04121	TRINITY_DN138633_c0_g1
ko00270	TRINITY_DN180140_c0_g1
ko00350	TRINITY_DN180140_c0_g1
ko00360	TRINITY_DN180140_c0_g1
ko00400	TRINITY_DN180140_c0_g1
ko00130	TRINITY_DN180140_c0_g1
ko00950	TRINITY_DN180140_c0_g1
ko00960	TRINITY_DN180140_c0_g1
ko00401	TRINITY_DN180140_c0_g1
ko01007	TRINITY_DN180140_c0_g1
ko00380	TRINITY_DN180140_c0_g1
ko00966	TRINITY_DN180140_c0_g1
ko01007	TRINITY_DN180140_c0_g1
ko00270	TRINITY_DN180140_c0_g1
ko00020	TRINITY_DN181753_c0_g1
ko00640	TRINITY_DN181753_c0_g1
ko04131	TRINITY_DN181746_c1_g1
ko04131	TRINITY_DN181746_c1_g1
ko04010	TRINITY_DN101755_c0_g1
ko04064	TRINITY_DN101755_c0_g1
ko04620	TRINITY_DN101755_c0_g1
ko04624	TRINITY_DN101755_c0_g1
ko04722	TRINITY_DN101755_c0_g1
ko01001	TRINITY_DN101755_c0_g1
ko00240	TRINITY_DN152519_c0_g1
ko00240	TRINITY_DN152519_c0_g1
ko00904	TRINITY_DN152506_c0_g1
ko00010	TRINITY_DN152511_c0_g1
ko00030	TRINITY_DN152511_c0_g1
ko00051	TRINITY_DN152511_c0_g1
ko00710	TRINITY_DN170621_c1_g1
ko00250	TRINITY_DN170621_c1_g1
ko00270	TRINITY_DN170621_c1_g1
ko00220	TRINITY_DN170621_c1_g1
ko00330	TRINITY_DN170621_c1_g1
ko00350	TRINITY_DN170621_c1_g1
ko00360	TRINITY_DN170621_c1_g1
ko00400	TRINITY_DN170621_c1_g1
ko00950	TRINITY_DN170621_c1_g1
ko00960	TRINITY_DN170621_c1_g1
ko01007	TRINITY_DN170621_c1_g1
ko04131	TRINITY_DN170621_c1_g1
ko04147	TRINITY_DN170621_c1_g1
ko03460	TRINITY_DN170628_c0_g1
ko03400	TRINITY_DN170628_c0_g1
ko04014	TRINITY_DN170628_c0_g1
ko04016	TRINITY_DN104888_c0_g1
ko04626	TRINITY_DN104888_c0_g1
ko01001	TRINITY_DN104888_c0_g1
ko04014	TRINITY_DN104888_c2_g1
ko03083	TRINITY_DN129151_c0_g1
ko03036	TRINITY_DN129151_c0_g1
ko03050	TRINITY_DN113112_c0_g1
ko01002	TRINITY_DN113112_c0_g1
ko03051	TRINITY_DN113112_c0_g1
ko03040	TRINITY_DN103776_c0_g1
ko03019	TRINITY_DN103776_c0_g1
ko03041	TRINITY_DN103776_c0_g1
